id,front,back,tag,level,group
35.0,全面深化改革总目标是_____。,[完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化],政治,,
36.0,全面推进依法治国总目标是_____。,[建设中国特色社会主义法治体系、建设社会主义法治国家],政治,,
37.0,党在新时代的强军目标是_____。,[建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队],政治,,
38.0,我们党的最大政治优势是_____。,[密切联系群众],政治,,
39.0,_____是改革开放的鲜明特征和首要任务。,[解放和发展社会生产力],政治,,
40.0,统筹推进各领域各方面改革开放，必须以全面深化改革总目标为引领，以_____为主线， 以_____为重点 ， 以_____为突破口。,[制度建设] 为主线，[经济体制改革] 为重点，[重要领域和关键环节改革] 为突破口,政治,,
41.0,进一步全面深化改革的总目标: _____。,[继续完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化],政治,,
42.0,创新是引领发展的第一动力 ，创新发展注重的是解决_____ 问题。,[发展动力],政治,,
43.0,协调是持续健康发展的内在要求 ，协调发展注重的是解决_____ 问题。,[发展不平衡],政治,,
44.0,绿色是永续发展的必要条件和人民对美好生活追求的重要体现，绿色发展注重的是解决 _____ 问题。,[人与自然和谐共生],政治,,
45.0,开放是国家繁荣发展的必由之路 ，开放发展注重的是解决发展_____ 问题。,[内外联动],政治,,
46.0,共享是中国特色社会主义的本质要求 ，共享发展注重的是解决_____ 问题。,[社会公平正义],政治,,
47.0,_____是全面建设社会主义现代化国家的首要任务。,[高质量发展],政治,,
48.0,构建新发展格局最本质的特征是_____。,[实现高水平的自立自强],政治,,
49.0,_____强国是社会主义现代化强国的根基。,[农业],政治,,
50.0,乡村振兴的总目标是_____ ， 总方针是_____。,[实现农业农村现代化] ， [坚持农业农村优先发展],政治,,
51.0,_____强国是全面建成社会主义现代化强国的战略先导。,[教育],政治,,
52.0,全过程人民民主实现了_____ 、_____ 、_____ 、_____相统一。,[过程民主和成果民主]，[程序民主和实质民主]，[直接民主和间接民主]，[人民民主和国家意志],政治,,
53.0,_____是中国社会主义民主政治的特有形式和独特优势。,[协商民主],政治,,
54.0,统战工作的本质要求是_____。,[大团结大联合],政治,,
55.0,统一战线的主题是_____。,[大团结大联合],政治,,
56.0,政协工作的主题是_____。,[团结和民主],政治,,
57.0,新时代党的民族工作主线、 民族地区各项工作的主线就是_____。,[铸牢中华民族共同体意识],政治,,
58.0,全面依法治国总体格局是_____ 、_____ 、_____ 、_____。,[科学立法]，[严格执法]，[公正司法]，[全民守法],政治,,
59.0,全面依法治国的总抓手是_____。,[建设中国特色社会主义法治体系],政治,,
60.0,_____是全面依法治国的重点任务和主体工程。,[法治政府建设],政治,,
61.0,一个国家的文化软实力，从根本上说 ，取决于_____。,[其核心价值观的生命力、凝聚力、感召力],政治,,
62.0,完善生育支持政策体系和激励机制 ，推动建设生育友好型社会以_____为重点完善人口发展战略。,[应对老龄化、少子化],政治,,
63.0,_____是最公平的公共产品 ，是最普惠的民生福祉。,[良好的生态环境],政治,,
64.0,要加快推动发展方式绿色低碳转型 ， 坚持把_____作为解决生态环境问题的治本之策。,[绿色低碳发展],政治,,
65.0,强化国土空间规划和用途管控 ，划定落实_____ 、_____ 、_____三条控制线以及各类海域保护线。,[生态保护红线]，[永久基本农田]，[城镇开发边界],政治,,
66.0,科学划定自然保护地保护范围及功能分区 ，构建以_____为主体 、为基础 、 为补充的自然保护地体系。,[国家公园]，[自然保护区]，[各类自然公园],政治,,
67.0,"总体国家安全观以_____ 为宗旨 , 以_____ 为根本 , 以_____ 为基础 , 以_____ 为保障 , 以 _____为依托 ,走出一条中国特色国家安全道路。",[人民安全]，[政治安全]，[经济安全]，[军事、文化、社会安全]，[促进国际安全],政治,,
68.0,党的十九大明确提出 ， 党在新时代的强军目标是_____。,[建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队],政治,,
69.0,人民军队必须牢固树立_____这个唯一的根本的标准。,[战斗力],政治,,
70.0,「一国两制」的根本宗旨是_____。,[维护国家主权、安全、发展利益，保持香港、澳门长期繁荣稳定],政治,,
71.0,_____是我国对外工作的出发点和落脚点。,[维护国家主权、安全、发展利益],政治,,
72.0,_____是新时代对外工作的总目标。,[推动构建人类命运共同体],政治,,
73.0,新时代党的建设总要求:坚持和加强党的全面领导 ， 坚持党要管党、 全面从严治党 ， 以 _____为主线 ， 以党的_____为统领 ， 以_____为根基 ， 以_____为着力点。,[加强党的长期执政能力建设、先进性和纯洁性建设]-主线，[政治建设]-统领，[坚定理想信念宗旨]-根基，[调动全党积极性、主动性、创造性]-着力点,政治,,
74.0,党的政治建设的首要任务是_____。,[保证全党服从中央，维护党中央权威和集中统一领导],政治,,
75.0,难能可贵,做到了难做之事，十分可贵,成语,,
76.0,浮光掠影,印象不深刻,成语,,
77.0,文艺的功利性,文以载道,短语,,
78.0,煞有介事,好像真有这回事似的，多指大模大样，好像有什么了不起。常形容人的姿态,成语,,
79.0,大打折扣,大幅度降低、减少,成语,,
80.0,寥寥无几,静态数量极少,成语,,
81.0,微乎其微,程度极小。机会、可能性、差别、影响、数量，接近为0,成语,,
82.0,乏善可陈,没有什么优点可说，整体评价事物,成语,,
83.0,钟灵毓秀,"毓通育，凝聚了天地间的灵气，孕育着优秀的人物。钟灵蕴秀的文化底蕴
",成语,,g3
84.0,群英荟萃,人才辈出,成语,,g3
85.0,氤氲,特指烟云、水汽弥漫的样子，是描述江南水乡、雨后空气的最标准、最有意境的词。,短语 ,,g4
86.0,叆叇àidài,意思与「氤氲」高度相近，也形容浓云蔽日、云彩很厚的样子。,短语 ,,g4
87.0,绮丽,风景美丽，大片,短语 ,,g5
88.0,旖旎,风景美丽，诗意,短语 ,,g5
89.0,雅号,高雅的名号，多用于尊称他人的名字,短语 ,,
90.0,大起大落,大幅度的上升与下降，是描述经济、行情剧烈波动的最常用、最精准的成语。稳住基本盘。。,成语,,g6
91.0,大开大合,形容文思跌宕或动作幅度大,成语,,g6
92.0,鲜为人知,主语是事物。很少被人知道,成语,,g7
93.0,寡见鲜闻,主语是人。见闻少，知道得少,成语,,g7
94.0,甄别,考核鉴别，多指对真伪、优劣等进行区分,短语,,g8
95.0,识别,辨认、分辨,短语,,g8
96.0,择善而从,指采纳正确的意见或选择好的方法加以实行,成语,,
97.0,高枕无忧,高枕头安心睡觉，形容平安无事，无忧无虑。它强调的是一种安全、无虑的心理状态。景区不能高枕无忧，业态不能一成不变。,成语,,
98.0,竿头直上,比喻学业进步很快或事业进展迅速,成语,,
99.0,不足为训,「训」在这里是「准则」的意思，即不值得作为效法的准则或榜样。,成语,,g9
100.0,不足为意,不值得放在心上,成语,,g9
101.0,不足为凭,不能作为凭证或依据,成语,,g9
102.0,不容置喙,不允许别人插嘴、不容许别人评论。它是一个强硬的、禁止性的词语，带有负面色彩,成语,,g10
103.0,无可厚非,意为不可过分指责、非议，表示虽有缺点，但可以理解和原谅,成语,,g10
104.0,百花齐放,比喻不同形式和风格的艺术自由发展，也形容艺术界的繁荣景象。,成语,,g11
105.0,各显神通,比喻在各自的工作岗位上或各自的领域里，拿出本领，大显身手。它更强调 「个体（或某类题材）施展本领」 ,成语,,g11
106.0,似是而非,指好像对，实际上并不对，强调表面相似实质不同,成语,,
107.0,诱发,导致（某种情况）发生，常与疾病、问题、冲突等搭配，如“诱发战争”，非常贴切。,短语,,g12
108.0,激发,指刺激使奋发，是中性或偏褒义的词（如激发斗志）,短语,,g12
109.0,发动,指使开始，通常接具体行动（如发动战争、发动进攻）,短语,,g12
110.0,煽动,指鼓动别人去做坏事，带有强烈的主观恶意，通常是人为主语（如煽动情绪）,短语,,g12
111.0,消弭,消除（坏事），是消除战争、灾祸等的常用书面语，如“消弭战乱”、“消弭隐患”，词义精准，语体庄重。,短语,,
112.0,运营,特指 （车、船、飞机、桥梁、工厂等） 有组织地投入工作或营业。这是描述像港珠澳大桥这样大型交通基础设施正式投入使用的最标准、最专业的词语。,短语,,g13
113.0,运行,多指（星球、车辆、机器等）周而复始地运转，强调运动状态，不能准确体现大型工程从建设完成到投入公共使用的“开通”含义,短语,,g13
114.0,运转,指（机器、机构等）进行工作，偏重机械或组织的内部活动。,短语,,g13
115.0,运载,指装载和运送，是“运营”过程中的具体功能，不能概括其整体投入使用这一事件。,短语,,g13
116.0,恢弘,宽阔、广大；发扬”，常与“气势”、“画卷”、“乐章”等搭配，如“气势恢宏”。它不仅能形容规模大，更能体现一种磅礴、豪迈的气度，与“谱写时代变迁”的语境完美契合，是文学性很强的褒义词。,短语,,g14
117.0,宏伟,形容（规模、计划等）宏大雄伟，常形容具体建筑或蓝图，如“宏伟的建筑”，与抽象的“乐章”搭配略显生硬。,短语,,g14
118.0,宏大,形容巨大、宏伟，可以形容规模，但文学色彩和气势不如“恢宏”强烈。“恢宏乐章”是比“宏大乐章”更常见、更优美的固定搭配。,短语,,g14
,壮丽,雄壮美丽，常用于山河景象,短语,,g14
,华丽,偏重装饰精美、绚烂,短语,,g14
119.0,源远流长,形容事物（历史、文化、传统等）的起源久远，延续很长。  主语必须是那个“有源头、能流淌”的抽象事物本身。  例：中华文化源远流长。这条河的文明源远流长。,成语,,
120.0,咂舌攒眉 ,带有惊讶并为难的表情,,,
121.0,对冲,金融经济术语，专门用于“以确定性对冲不确定性”，非常精准,短语,,
122.0,投鼠忌器,因为外在客观条件的制约而有所顾虑不敢做,成语,,g15
123.0,畏手畏脚,因为自己主观上顾虑多而不敢做。,成语,,g15
124.0,扛鼎_刚,指举鼎，常用来比喻有大才，能负重任，也比喻攘夺国家政权,短语,,g16
125.0,比肩,并肩，也比喻地位相等,短语,,g16
126.0,鼎峙,三方面对立，并立的意思,短语,,g16
127.0,媲美,美好的程度不相上下的意思,短语,,g16
128.0,南辕北辙, 行动与目的相反，越做离目标越远 同一个主体的做法与目标矛盾,成语,,g17
129.0,背道而驰 ,方向或原则相反，多用于两者比较 人与理念、两个事物发展方向相反,成语,,g17
130.0,缘木求鱼 ,方法根本、方向错误，不可能成功 手段与目的不符，徒劳无功,成语,,g17
131.0,分道扬镳 ,因目标不同而分开 合作关系结束，各自发展,成语,,g17
132.0,等量齐观,把有差别的事物不加区别地同等看待,成语,,
133.0,碧海青天,指夜空或仙境，也可以比喻遥远的事物，但与“探月”不一定直接对应。,成语,,g18太空
134.0,浩瀚苍穹,广阔的苍穹、天空，可以泛指宇宙，符合“拉近距离”的对象。,成语,,g18太空
135.0,星辰大海,现多比喻远大理想、太空探索，与探月非常匹配，常出现在航天语境。,成语,,g18太空
136.0,蟾宫折桂,比喻科举及第、考中状元，与太空无关，排除。,成语,,g18太空
137.0,莫衷一是,意见分歧，难有一致的定论,成语,,
138.0,目睫之论,比喻肤浅的见解,成语,,
139.0,水陆毕陈,水里和陆上的美味都摆出来了，特指筵席丰盛,成语,,
140.0,心旌摇荡,心神摇摆不定，多指感情波动，常因外界影响，与“旨趣深厚”带来的持久向往不同，且略有轻浮感,成语,,g19
141.0,心驰神往,心神飞到向往的地方，常用“令人心驰神往”，很贴切。,成语,,g19
142.0,心旷神怡,心情舒畅，精神愉快，多指景色或环境带来的感受，与“旨趣深厚”的“向往”感不完全一致。,成语,,g19
143.0,春风化雨,比喻良好的教育潜移默化，与“滋润”语义重复，且“在春风化雨中”一般作状语指方式，这里需要表达一种状态（如“在长久传承中”）。,成语,,
144.0,连类比物,指联系类似的事物进行比较,成语,,
145.0,知人论世,是一个完整的研究方法，指了解作者并研究其所处的时代背景,成语,,
146.0,兼权尚计,指全面衡量、比较，深思熟虑,成语,,
147.0,综核名实,指综合考核名称与实际是否相符,成语,,
148.0,蔚为大观,形容事物丰富多彩，形成盛大景象,成语,,g20
149.0,叹为观止,指赞美看到的事物好到极点。通常用作谓语，如“令人叹为观止”，很少直接作定语修饰名词（如“叹为观止的千种名著”），且它更强调事物本身的精彩程度，而非规模或气象。,成语,,g20
150.0,洋洋大观,形容美好的事物繁多，丰富多彩,成语,,
151.0,举足轻重,比喻所处地位重要，一举一动都会影响全局。中性,成语,,g21
152.0,举重若轻,能力强，处理繁杂事务轻松自如。褒义,成语,,g21
153.0,人言籍籍,形容人们议论纷纷（多含贬义）。,成语,,g22
154.0,众口铄金,原意是众口一词，连金属都能熔化。比喻舆论力量强大，众口一词可以混淆是非，甚至能熔化金属（比喻毁灭性的力量）。,成语,,g22
155.0,三人成虎,比喻说的人多了，就能使人们把谣言当作事实。它侧重于谣言经过多人传播后会被误信，核心是“以讹传讹导致信以为真”。,成语,,g22
156.0,,,,,
157.0,,,,,
158.0,,,,,
159.0,,,,,
160.0,,,,,
161.0,,,,,
162.0,,,,,
163.0,,,,,
164.0,,,,,
165.0,,,,,
166.0,,,,,
167.0,,,,,
168.0,,,,,
169.0,,,,,
170.0,,,,,
171.0,,,,,
172.0,,,,,
173.0,,,,,
174.0,,,,,
175.0,,,,,
176.0,,,,,
177.0,,,,,
178.0,,,,,
179.0,,,,,
180.0,,,,,
181.0,,,,,
182.0,,,,,
183.0,,,,,
184.0,,,,,
185.0,,,,,
186.0,,,,,
187.0,,,,,
188.0,,,,,
189.0,,,,,
190.0,,,,,
191.0,,,,,
192.0,,,,,
193.0,,,,,
194.0,,,,,
195.0,,,,,
196.0,,,,,
197.0,,,,,
198.0,,,,,
199.0,,,,,
200.0,,,,,
201.0,,,,,
202.0,,,,,
